chunk_id,document_id,chunk_index,chunk_text,document_title,category,published_date,source_url,metadata
SEBI-001-chunk-0,SEBI-001,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
PRESS RELEASE
Reference: SEBI/HO/IMD/28/CIR/P/2021/942
Date: 2025-06-20

Subject: Stock Exchange Listing Requirements

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 19 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following press release on Stock Exchange Listing Requirements. This press release supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 24 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 7 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 36 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 100 crores
Liquid assets requirement: Not less than 25% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 10 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 5 crore or 2% of turnover
- Suspension of registration for 24 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 30 days failing which 
late submission fees of Rs. 5000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 180 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Investment Management
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: brandon46@example.net",Press Release on Stock Exchange Listing Requirements,Press Release,2025-10-03,https://www.sebi.gov.in/legal/circulars/1.html,"{'regulation_number': 'SEBI/HO/IMD/37/2024', 'keywords': ['Stock Exchange Listing Requirements', 'Press Release', 'compliance', 'regulations'], 'word_count': 379}"
SEBI-002-chunk-0,SEBI-002,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
AMENDMENT
Reference: SEBI/HO/IMD/82/CIR/P/2021/882
Date: 2026-01-17

Subject: Portfolio Management Services

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 30 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following amendment on Portfolio Management Services. This amendment supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 48 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 5 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 12 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 25 crores
Liquid assets requirement: Not less than 25% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 5 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 25 crore or 1% of turnover
- Suspension of registration for 6 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 15 days failing which 
late submission fees of Rs. 10000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Market Regulation
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: fsilva@example.com",Amendment on Portfolio Management Services,Amendment,2025-03-10,https://www.sebi.gov.in/legal/circulars/2.html,"{'regulation_number': 'SEBI/HO/CFD/74/2024', 'keywords': ['Portfolio Management Services', 'Amendment', 'compliance', 'regulations'], 'word_count': 374}"
SEBI-003-chunk-0,SEBI-003,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
MASTER CIRCULAR
Reference: SEBI/HO/IMD/12/CIR/P/2021/197
Date: 2025-01-18

Subject: Depository Participants Guidelines

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 11 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following master circular on Depository Participants Guidelines. This master circular supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 24 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 3 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 36 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 25 crores
Liquid assets requirement: Not less than 15% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 10 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 5 crore or 3% of turnover
- Suspension of registration for 6 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 45 days failing which 
late submission fees of Rs. 5000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Investment Management
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: mhoffman@example.com",Master Circular on Depository Participants Guidelines,Master Circular,2024-03-29,https://www.sebi.gov.in/legal/circulars/3.html,"{'regulation_number': 'SEBI/HO/IMD/85/2021', 'keywords': ['Depository Participants Guidelines', 'Master Circular', 'compliance', 'regulations'], 'word_count': 377}"
SEBI-004-chunk-0,SEBI-004,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
PRESS RELEASE
Reference: SEBI/HO/IMD/24/CIR/P/2023/753
Date: 2025-04-27

Subject: Stock Exchange Listing Requirements

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 12 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following press release on Stock Exchange Listing Requirements. This press release supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 48 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 5 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 24 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 25 crores
Liquid assets requirement: Not less than 15% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 10 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 5 crore or 2% of turnover
- Suspension of registration for 12 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 30 days failing which 
late submission fees of Rs. 1000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Enforcement
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: rwilliams@example.com",Press Release on Stock Exchange Listing Requirements,Press Release,2026-01-16,https://www.sebi.gov.in/legal/circulars/4.html,"{'regulation_number': 'SEBI/HO/IMD/92/2020', 'keywords': ['Stock Exchange Listing Requirements', 'Press Release', 'compliance', 'regulations'], 'word_count': 378}"
SEBI-005-chunk-0,SEBI-005,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
MASTER CIRCULAR
Reference: SEBI/HO/IMD/92/CIR/P/2021/898
Date: 2025-03-25

Subject: Depository Participants Guidelines

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 30 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following master circular on Depository Participants Guidelines. This master circular supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 24 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 3 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 36 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 10 crores
Liquid assets requirement: Not less than 25% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 10 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 5 crore or 3% of turnover
- Suspension of registration for 24 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 45 days failing which 
late submission fees of Rs. 5000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Enforcement
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: heatherarcher@example.org",Master Circular on Depository Participants Guidelines,Master Circular,2026-01-30,https://www.sebi.gov.in/legal/circulars/5.html,"{'regulation_number': 'SEBI/HO/MRD/72/2021', 'keywords': ['Depository Participants Guidelines', 'Master Circular', 'compliance', 'regulations'], 'word_count': 376}"
SEBI-006-chunk-0,SEBI-006,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
AMENDMENT
Reference: SEBI/HO/IMD/70/CIR/P/2024/683
Date: 2025-01-08

Subject: Takeover Regulations

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 12 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following amendment on Takeover Regulations. This amendment supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 48 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 3 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 24 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 100 crores
Liquid assets requirement: Not less than 25% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 5 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 1 crore or 3% of turnover
- Suspension of registration for 24 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 15 days failing which 
late submission fees of Rs. 10000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 120 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Enforcement
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: bradleythompson@example.org",Amendment on Takeover Regulations,Amendment,2025-09-15,https://www.sebi.gov.in/legal/circulars/6.html,"{'regulation_number': 'SEBI/HO/MRD/54/2020', 'keywords': ['Takeover Regulations', 'Amendment', 'compliance', 'regulations'], 'word_count': 371}"
SEBI-007-chunk-0,SEBI-007,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
NOTIFICATION
Reference: SEBI/HO/IMD/2/CIR/P/2021/448
Date: 2024-10-27

Subject: Stock Exchange Listing Requirements

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 19 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following notification on Stock Exchange Listing Requirements. This notification supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 48 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 5 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 12 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 25 crores
Liquid assets requirement: Not less than 25% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 25 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 25 crore or 2% of turnover
- Suspension of registration for 6 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 45 days failing which 
late submission fees of Rs. 1000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Market Regulation
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: steven61@example.com",Notification on Stock Exchange Listing Requirements,Notification,2025-07-08,https://www.sebi.gov.in/legal/circulars/7.html,"{'regulation_number': 'SEBI/HO/CFD/97/2022', 'keywords': ['Stock Exchange Listing Requirements', 'Notification', 'compliance', 'regulations'], 'word_count': 376}"
SEBI-008-chunk-0,SEBI-008,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
GUIDELINES
Reference: SEBI/HO/IMD/77/CIR/P/2024/262
Date: 2025-08-31

Subject: Depository Participants Guidelines

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 11 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following guidelines on Depository Participants Guidelines. This guidelines supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 24 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 3 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 36 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 50 crores
Liquid assets requirement: Not less than 20% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 10 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 5 crore or 2% of turnover
- Suspension of registration for 6 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 30 days failing which 
late submission fees of Rs. 1000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Enforcement
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: timothy89@example.com",Guidelines on Depository Participants Guidelines,Guidelines,2024-06-26,https://www.sebi.gov.in/legal/circulars/8.html,"{'regulation_number': 'SEBI/HO/IMD/42/2023', 'keywords': ['Depository Participants Guidelines', 'Guidelines', 'compliance', 'regulations'], 'word_count': 373}"
SEBI-009-chunk-0,SEBI-009,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
AMENDMENT
Reference: SEBI/HO/IMD/91/CIR/P/2023/642
Date: 2024-10-18

Subject: Alternative Investment Funds

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 19 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following amendment on Alternative Investment Funds. This amendment supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 24 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 3 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 24 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 100 crores
Liquid assets requirement: Not less than 25% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 25 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 5 crore or 2% of turnover
- Suspension of registration for 24 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 30 days failing which 
late submission fees of Rs. 5000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 90 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Investment Management
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: bfisher@example.com",Amendment on Alternative Investment Funds,Amendment,2024-06-05,https://www.sebi.gov.in/legal/circulars/9.html,"{'regulation_number': 'SEBI/HO/CFD/69/2021', 'keywords': ['Alternative Investment Funds', 'Amendment', 'compliance', 'regulations'], 'word_count': 374}"
SEBI-010-chunk-0,SEBI-010,0,"SECURITIES AND EXCHANGE BOARD OF INDIA
GUIDELINES
Reference: SEBI/HO/IMD/37/CIR/P/2022/837
Date: 2024-08-30

Subject: Portfolio Management Services

1. BACKGROUND AND CONTEXT

In exercise of powers conferred under Section 12 of the Securities and 
Exchange Board of India Act, 1992, and in pursuance of the objectives of investor protection and 
development of the securities market, SEBI hereby issues the following guidelines on Portfolio Management Services. This guidelines supersedes all previous circulars on this subject and shall come into force 
with immediate effect from the date of issuance. 2. REGULATORY REQUIREMENTS

2.1 Compliance Obligations
All registered intermediaries, market participants, and listed entities must ensure strict adherence 
to the following provisions:

a) Maintenance of adequate internal controls and risk management systems
b) Timely disclosure of material events within 72 hours
c) Appointment of compliance officers with requisite qualifications
d) Quarterly reporting to SEBI through online portals
e) Annual certification by auditors regarding compliance status

2.2 Documentation Requirements
Entities must maintain comprehensive records including:
- Transaction logs with timestamps and IP addresses
- Client communication records for minimum 5 years
- Board meeting minutes and compliance committee reports
- KYC documents with periodic updates every 24 months

2.3 Financial Thresholds
Minimum net worth requirements: Rs. 10 crores
Liquid assets requirement: Not less than 15% of net worth
Professional indemnity insurance: Minimum coverage of Rs. 10 crores

3. PENAL PROVISIONS

3.1 Non-compliance shall attract the following actions:
- Monetary penalty up to Rs. 1 crore or 2% of turnover
- Suspension of registration for 12 months
- Debarment from accessing securities market
- Criminal prosecution under applicable laws

3.2 Entities must submit compliance reports within 45 days failing which 
late submission fees of Rs. 5000 per day

4. IMPLEMENTATION TIMELINE

Phase 1: Existing entities must comply within 180 days
Phase 2: New applicants must comply from date of registration
Phase 3: SEBI shall conduct inspections starting from 2026-02-06

All stock exchanges, depositories, and clearing corporations are directed to ensure implementation 
and report to SEBI on a monthly basis. This circular is issued in public interest and for investor protection. For any clarifications, please contact:
Division of Market Regulation
Securities and Exchange Board of India
SEBI Bhavan, Plot No. C4-A, 'G' Block, Bandra-Kurla Complex
Bandra (East), Mumbai - 400 051
Email: reedsarah@example.com",Guidelines on Portfolio Management Services,Guidelines,2025-10-27,https://www.sebi.gov.in/legal/circulars/10.html,"{'regulation_number': 'SEBI/HO/MRD/55/2024', 'keywords': ['Portfolio Management Services', 'Guidelines', 'compliance', 'regulations'], 'word_count': 374}"
