id,title,category,text,source,source_type,date
1,SEBI Regulation 1,IPO Regulations,The regulation states that listed companies should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-04-22
2,SEBI Regulation 2,Mutual Funds,Non-compliance with risk assessment reports by listed companies may attract penalties and legal action.,SEBI,synthetic,2022-07-11
3,SEBI Regulation 3,Mutual Funds,"Under SEBI guidelines, portfolio managers are required to disclose risk assessment reports within 7 days.",SEBI,synthetic,2023-09-13
4,SEBI Regulation 4,Insider Trading,SEBI mandates that all portfolio managers must comply with risk assessment reports. Failure may result in penalties up to Rs. 3 crores.,SEBI,synthetic,2020-02-06
5,SEBI Regulation 5,KYC Norms,The regulation states that portfolio managers should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2020-03-06
6,SEBI Regulation 6,Stock Brokers,The regulation states that designated persons should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2022-05-08
7,SEBI Regulation 7,KYC Norms,Non-compliance with risk assessment reports by listed companies may attract penalties and legal action.,SEBI,synthetic,2021-09-19
8,SEBI Regulation 8,Corporate Governance,The regulation states that market intermediaries should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2021-07-23
9,SEBI Regulation 9,Corporate Governance,"Under SEBI guidelines, mutual fund houses are required to disclose transaction monitoring within 3 days.",SEBI,synthetic,2024-02-18
10,SEBI Regulation 10,KYC Norms,SEBI mandates that all designated persons must comply with risk assessment reports. Failure may result in penalties up to Rs. 36 crores.,SEBI,synthetic,2020-09-04
11,SEBI Regulation 11,Corporate Governance,Non-compliance with audit records by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2020-10-12
12,SEBI Regulation 12,IPO Regulations,Non-compliance with audit records by listed companies may attract penalties and legal action.,SEBI,synthetic,2022-01-04
13,SEBI Regulation 13,IPO Regulations,The regulation states that mutual fund houses should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2021-03-27
14,SEBI Regulation 14,KYC Norms,SEBI mandates that all stock brokers must comply with KYC documentation. Failure may result in penalties up to Rs. 3 crores.,SEBI,synthetic,2024-07-09
15,SEBI Regulation 15,Stock Brokers,The regulation states that mutual fund houses should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-05-08
16,SEBI Regulation 16,IPO Regulations,SEBI mandates that all stock brokers must comply with audit records. Failure may result in penalties up to Rs. 20 crores.,SEBI,synthetic,2023-12-28
17,SEBI Regulation 17,IPO Regulations,"Under SEBI guidelines, mutual fund houses are required to disclose insider trading restrictions within 4 days.",SEBI,synthetic,2022-01-19
18,SEBI Regulation 18,Corporate Governance,"As per SEBI circular, designated persons must ensure KYC documentation to avoid violations.",SEBI,synthetic,2024-04-12
19,SEBI Regulation 19,Compliance Reporting,The regulation states that market intermediaries should maintain audit records for transparency and compliance.,SEBI,synthetic,2024-02-09
20,SEBI Regulation 20,Stock Brokers,SEBI mandates that all designated persons must comply with financial disclosures. Failure may result in penalties up to Rs. 30 crores.,SEBI,synthetic,2021-10-21
21,SEBI Regulation 21,IPO Regulations,SEBI mandates that all market intermediaries must comply with audit records. Failure may result in penalties up to Rs. 32 crores.,SEBI,synthetic,2021-02-26
22,SEBI Regulation 22,IPO Regulations,"Under SEBI guidelines, listed companies are required to disclose risk assessment reports within 5 days.",SEBI,synthetic,2023-10-03
23,SEBI Regulation 23,KYC Norms,SEBI mandates that all mutual fund houses must comply with KYC documentation. Failure may result in penalties up to Rs. 37 crores.,SEBI,synthetic,2020-10-04
24,SEBI Regulation 24,Corporate Governance,The regulation states that listed companies should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2024-09-19
25,SEBI Regulation 25,Corporate Governance,SEBI mandates that all market intermediaries must comply with transaction monitoring. Failure may result in penalties up to Rs. 2 crores.,SEBI,synthetic,2023-08-25
26,SEBI Regulation 26,Risk Management,The regulation states that portfolio managers should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2021-10-03
27,SEBI Regulation 27,Corporate Governance,Non-compliance with transaction monitoring by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2022-12-24
28,SEBI Regulation 28,IPO Regulations,SEBI mandates that all mutual fund houses must comply with transaction monitoring. Failure may result in penalties up to Rs. 11 crores.,SEBI,synthetic,2022-09-04
29,SEBI Regulation 29,Insider Trading,SEBI mandates that all stock brokers must comply with financial disclosures. Failure may result in penalties up to Rs. 31 crores.,SEBI,synthetic,2022-12-03
30,SEBI Regulation 30,Stock Brokers,Non-compliance with transaction monitoring by market intermediaries may attract penalties and legal action.,SEBI,synthetic,2024-07-15
31,SEBI Regulation 31,Stock Brokers,The regulation states that listed companies should maintain KYC documentation for transparency and compliance.,SEBI,synthetic,2023-02-05
32,SEBI Regulation 32,Stock Brokers,"Under SEBI guidelines, portfolio managers are required to disclose KYC documentation within 1 days.",SEBI,synthetic,2023-10-04
33,SEBI Regulation 33,IPO Regulations,"As per SEBI circular, designated persons must ensure audit records to avoid violations.",SEBI,synthetic,2023-05-14
34,SEBI Regulation 34,Risk Management,The regulation states that market intermediaries should maintain risk assessment reports for transparency and compliance.,SEBI,synthetic,2023-02-26
35,SEBI Regulation 35,Insider Trading,The regulation states that portfolio managers should maintain financial disclosures for transparency and compliance.,SEBI,synthetic,2022-05-23
36,SEBI Regulation 36,Risk Management,Non-compliance with financial disclosures by listed companies may attract penalties and legal action.,SEBI,synthetic,2022-05-05
37,SEBI Regulation 37,IPO Regulations,Non-compliance with transaction monitoring by designated persons may attract penalties and legal action.,SEBI,synthetic,2020-08-07
38,SEBI Regulation 38,Compliance Reporting,The regulation states that stock brokers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2022-09-08
39,SEBI Regulation 39,Risk Management,"Under SEBI guidelines, market intermediaries are required to disclose insider trading restrictions within 10 days.",SEBI,synthetic,2022-03-16
40,SEBI Regulation 40,Risk Management,SEBI mandates that all portfolio managers must comply with KYC documentation. Failure may result in penalties up to Rs. 17 crores.,SEBI,synthetic,2024-03-12
41,SEBI Regulation 41,Corporate Governance,Non-compliance with KYC documentation by designated persons may attract penalties and legal action.,SEBI,synthetic,2022-02-02
42,SEBI Regulation 42,Stock Brokers,"As per SEBI circular, mutual fund houses must ensure audit records to avoid violations.",SEBI,synthetic,2024-10-01
43,SEBI Regulation 43,Risk Management,"As per SEBI circular, listed companies must ensure insider trading restrictions to avoid violations.",SEBI,synthetic,2021-10-27
44,SEBI Regulation 44,IPO Regulations,The regulation states that market intermediaries should maintain audit records for transparency and compliance.,SEBI,synthetic,2020-03-27
45,SEBI Regulation 45,Compliance Reporting,SEBI mandates that all listed companies must comply with KYC documentation. Failure may result in penalties up to Rs. 11 crores.,SEBI,synthetic,2022-06-29
46,SEBI Regulation 46,KYC Norms,"Under SEBI guidelines, designated persons are required to disclose audit records within 10 days.",SEBI,synthetic,2021-02-26
47,SEBI Regulation 47,Stock Brokers,Non-compliance with transaction monitoring by listed companies may attract penalties and legal action.,SEBI,synthetic,2021-09-02
48,SEBI Regulation 48,Corporate Governance,"As per SEBI circular, market intermediaries must ensure audit records to avoid violations.",SEBI,synthetic,2020-09-16
49,SEBI Regulation 49,Compliance Reporting,"As per SEBI circular, designated persons must ensure financial disclosures to avoid violations.",SEBI,synthetic,2020-02-09
50,SEBI Regulation 50,Corporate Governance,"Under SEBI guidelines, listed companies are required to disclose financial disclosures within 8 days.",SEBI,synthetic,2024-02-24
51,SEBI Regulation 51,Corporate Governance,SEBI mandates that all portfolio managers must comply with KYC documentation. Failure may result in penalties up to Rs. 19 crores.,SEBI,synthetic,2020-11-29
52,SEBI Regulation 52,IPO Regulations,"Under SEBI guidelines, portfolio managers are required to disclose risk assessment reports within 5 days.",SEBI,synthetic,2024-11-08
53,SEBI Regulation 53,Risk Management,The regulation states that stock brokers should maintain insider trading restrictions for transparency and compliance.,SEBI,synthetic,2020-07-09
54,SEBI Regulation 54,Risk Management,"Under SEBI guidelines, listed companies are required to disclose KYC documentation within 1 days.",SEBI,synthetic,2022-04-15
55,SEBI Regulation 55,Corporate Governance,"As per SEBI circular, designated persons must ensure risk assessment reports to avoid violations.",SEBI,synthetic,2021-10-09
56,SEBI Regulation 56,KYC Norms,Non-compliance with transaction monitoring by stock brokers may attract penalties and legal action.,SEBI,synthetic,2023-10-23
57,SEBI Regulation 57,Stock Brokers,SEBI mandates that all portfolio managers must comply with risk assessment reports. Failure may result in penalties up to Rs. 48 crores.,SEBI,synthetic,2021-05-18
58,SEBI Regulation 58,Mutual Funds,Non-compliance with risk assessment reports by mutual fund houses may attract penalties and legal action.,SEBI,synthetic,2021-10-12
59,SEBI Regulation 59,Mutual Funds,Non-compliance with KYC documentation by portfolio managers may attract penalties and legal action.,SEBI,synthetic,2023-05-20
60,SEBI Regulation 60,Insider Trading,The regulation states that mutual fund houses should maintain transaction monitoring for transparency and compliance.,SEBI,synthetic,2023-05-28
61,SEBI Regulation 61,Risk Management,SEBI mandates that all listed companies must comply with KYC documentation. Failure may result in penalties up to Rs. 27 crores.,SEBI,synthetic,2021-07-24
62,SEBI Regulation 62,Stock Brokers,"As per SEBI circular, stock brokers must ensure audit records to avoid violations.",SEBI,synthetic,2020-03-11
