id,title,category,published_date,word_count
SEBI-001,Press Release on Stock Exchange Listing Requirements,Press Release,2025-10-03,379
SEBI-002,Amendment on Portfolio Management Services,Amendment,2025-03-10,374
SEBI-003,Master Circular on Depository Participants Guidelines,Master Circular,2024-03-29,377
SEBI-004,Press Release on Stock Exchange Listing Requirements,Press Release,2026-01-16,378
SEBI-005,Master Circular on Depository Participants Guidelines,Master Circular,2026-01-30,376
SEBI-006,Amendment on Takeover Regulations,Amendment,2025-09-15,371
SEBI-007,Notification on Stock Exchange Listing Requirements,Notification,2025-07-08,376
SEBI-008,Guidelines on Depository Participants Guidelines,Guidelines,2024-06-26,373
SEBI-009,Amendment on Alternative Investment Funds,Amendment,2024-06-05,374
SEBI-010,Guidelines on Portfolio Management Services,Guidelines,2025-10-27,374
SEBI-011,Notification on Delisting Procedures,Notification,2025-02-25,371
SEBI-012,Amendment on Corporate Governance Norms,Amendment,2024-04-10,373
SEBI-013,Amendment on Corporate Governance Norms,Amendment,2025-05-14,374
SEBI-014,Master Circular on Stock Exchange Listing Requirements,Master Circular,2024-03-19,379
SEBI-015,Circular on Portfolio Management Services,Circular,2025-12-02,374
SEBI-016,Press Release on Research Analyst Regulations,Press Release,2025-05-02,377
SEBI-017,Circular on Disclosure Requirements,Circular,2024-09-23,372
SEBI-018,Notification on Depository Participants Guidelines,Notification,2025-03-22,373
SEBI-019,Press Release on Real Estate Investment Trusts (REITs),Press Release,2025-03-07,381
SEBI-020,Press Release on Insider Trading Regulations,Press Release,2025-02-22,376
SEBI-021,Guidelines on Credit Rating Agencies,Guidelines,2025-01-03,374
SEBI-022,Circular on Investment Advisers Registration,Circular,2025-10-26,374
SEBI-023,Notification on Alternative Investment Funds,Notification,2025-08-03,374
SEBI-024,Circular on Delisting Procedures,Circular,2024-11-11,372
SEBI-025,Press Release on Depository Participants Guidelines,Press Release,2025-03-23,377
SEBI-026,Guidelines on Insider Trading Regulations,Guidelines,2026-01-22,374
SEBI-027,Master Circular on Depository Participants Guidelines,Master Circular,2025-09-10,377
SEBI-028,Guidelines on Stock Exchange Listing Requirements,Guidelines,2024-10-04,376
SEBI-029,Master Circular on Real Estate Investment Trusts (REITs),Master Circular,2025-06-17,381
SEBI-030,Notification on Depository Participants Guidelines,Notification,2025-07-27,374
SEBI-031,Press Release on Research Analyst Regulations,Press Release,2024-09-05,377
SEBI-032,Master Circular on Portfolio Management Services,Master Circular,2024-06-27,377
SEBI-033,Press Release on Investment Advisers Registration,Press Release,2025-03-05,377
SEBI-034,Press Release on Delisting Procedures,Press Release,2025-07-20,375
SEBI-035,Amendment on Investment Advisers Registration,Amendment,2025-11-29,373
SEBI-036,Amendment on Foreign Portfolio Investors,Amendment,2025-06-26,374
SEBI-037,Master Circular on Insider Trading Regulations,Master Circular,2025-12-19,377
SEBI-038,Amendment on Research Analyst Regulations,Amendment,2024-05-07,373
SEBI-039,Master Circular on Portfolio Management Services,Master Circular,2024-07-26,377
SEBI-040,Circular on Delisting Procedures,Circular,2024-12-19,372
SEBI-041,Master Circular on Mutual Fund Compliance,Master Circular,2024-10-06,376
